reg;jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
Nouvelle-Aquitaine;2020-09-29;60+;120;3260;1870161.0;6.416559857680702;3.6809815950920246;34.75636589577047
Nouvelle-Aquitaine;2020-09-29;whole;633;13878;5999982.0;10.550031650094951;4.561175961954172;64.78352768391639
Nouvelle-Aquitaine;2020-09-30;0-19;123;2720;1293321.0;9.510399970308995;4.522058823529411;55.51599332261674
Nouvelle-Aquitaine;2020-09-30;20-59;405;7671;2836500.0;14.278159703860391;5.279624560031286;86.58558082143486
Nouvelle-Aquitaine;2020-09-30;60+;114;3145;1870161.0;6.095731864796668;3.624801271860095;35.50496454583322
Nouvelle-Aquitaine;2020-09-30;whole;642;13537;5999982.0;10.700032100096301;4.742557435177662;64.00019200057599
Nouvelle-Aquitaine;2020-10-01;0-19;135;2493;1293321.0;10.438243869851336;5.415162454873646;56.05723559734977
Nouvelle-Aquitaine;2020-10-01;20-59;475;7637;2836500.0;16.745989776132557;6.2197197852559905;87.85475057288913
Nouvelle-Aquitaine;2020-10-01;60+;125;2972;1870161.0;6.683916518417399;4.205921938088829;35.504964545833225
Nouvelle-Aquitaine;2020-10-01;whole;736;13110;5999982.0;12.266703466777066;5.614035087719298;64.73352753391595
Nouvelle-Aquitaine;2020-10-02;0-19;139;2649;1293321.0;10.747525169698783;5.247263118157795;55.05207137284556
Nouvelle-Aquitaine;2020-10-02;20-59;470;8014;2836500.0;16.569716199541688;5.864736710756176;88.06627886479816
Nouvelle-Aquitaine;2020-10-02;60+;121;3447;1870161.0;6.470031189828041;3.5102988105599073;36.41397719233799
Nouvelle-Aquitaine;2020-10-02;whole;730;14113;5999982.0;12.166703166776168;5.172535959753419;64.88352798391729
Nouvelle-Aquitaine;2020-10-03;0-19;60;1317;1293321.0;4.639219497711705;4.555808656036446;55.51599332261674
Nouvelle-Aquitaine;2020-10-03;20-59;224;3397;2836500.0;7.897056231270932;6.59405357668531;88.98290146307069
Nouvelle-Aquitaine;2020-10-03;60+;62;1560;1870161.0;3.3152225931350294;3.974358974358974;37.42993250313744
Nouvelle-Aquitaine;2020-10-03;whole;346;6274;5999982.0;5.766683966718567;5.5148230793751996;65.73353053392493
Nouvelle-Aquitaine;2020-10-04;0-19;8;201;1293321.0;0.618562599694894;3.9800995024875623;55.206712022769295
Nouvelle-Aquitaine;2020-10-04;20-59;75;847;2836500.0;2.6441036488630356;8.85478158205431;89.79375991538869
Nouvelle-Aquitaine;2020-10-04;60+;12;507;1870161.0;0.6416559857680701;2.366863905325444;37.216047174548066
Nouvelle-Aquitaine;2020-10-04;whole;95;1555;5999982.0;1.5833380833475834;6.109324758842444;65.98353128392718
Nouvelle-Aquitaine;2020-10-05;0-19;142;2629;1293321.0;10.979486144584367;5.401293267402054;54.74279007299812
Nouvelle-Aquitaine;2020-10-05;20-59;649;8733;2836500.0;22.8803102414948;7.431581358067102;95.54027851225102
Nouvelle-Aquitaine;2020-10-05;60+;173;4146;1870161.0;9.25054046148968;4.1726965750120595;38.87365847111559
Nouvelle-Aquitaine;2020-10-05;whole;964;15511;5999982.0;16.066714866811267;6.214944233124879;69.1002073006219
Nouvelle-Aquitaine;2020-10-06;0-19;129;2795;1293321.0;9.974321920080166;4.615384615384616;56.907759171930245
