jour;three_class;hosp;rea;HospConv;SSR_USLD;autres;rad;dc;taux hosp;taux rea
2020-05-14;0-19;111;24;0.0;0.0;0.0;998;6;0.6894542261711731;0.1490711840370104
2020-05-14;20-59;3200;678;0.0;0.0;0.0;21877;1098;9.650844509212334;2.044772680389363
2020-05-14;60+;16959;1543;0.0;0.0;0.0;36285;16002;94.96805922727617;8.640587026810964
2020-05-14;whole;20401;2256;0.0;0.0;0.0;59596;17205;30.397081903976897;3.3613948715931516
2020-05-15;0-19;110;22;0.0;0.0;0.0;1005;6;0.6832429268362976;0.13664858536725955
2020-05-15;20-59;3111;645;0.0;0.0;0.0;22037;1099;9.382430396299867;1.9452483463881112
2020-05-15;60+;16454;1485;0.0;0.0;0.0;36959;16117;92.14012893010212;8.315795032284043
2020-05-15;whole;19801;2162;0.0;0.0;0.0;60439;17323;29.503093906212765;3.2213367519434364
2020-05-16;0-19;109;22;0.0;0.0;0.0;1014;6;0.6770316275014222;0.13664858536725955
2020-05-16;20-59;3031;633;0.0;0.0;0.0;22162;1104;9.141159283569559;1.9090576794785648
2020-05-16;60+;16105;1425;0.0;0.0;0.0;37441;16182;90.185777100966;7.979803313807922
2020-05-16;whole;19372;2091;0.0;0.0;0.0;61057;17393;28.863892487811405;3.115548172208014
2020-05-17;0-19;107;21;0.0;0.0;0.0;1018;6;0.6646090288316714;0.1304372860323841
2020-05-17;20-59;3018;617;0.0;0.0;0.0;22205;1109;9.101952727750882;1.8608034569325032
2020-05-17;60+;16050;1398;0.0;0.0;0.0;37538;16231;89.8777846923629;7.828607040493666
2020-05-17;whole;19302;2047;0.0;0.0;0.0;61204;17447;28.759593888072253;3.0499890523719775
2020-05-18;0-19;101;19;0.0;0.0;0.0;1027;6;0.6273412328224187;0.11801468736263324
2020-05-18;20-59;2955;583;0.0;0.0;0.0;22334;1121;8.911951726475765;1.7582632340221223
2020-05-18;60+;15779;1346;0.0;0.0;0.0;37912;16342;88.36022209724575;7.5374142178143595
2020-05-18;whole;18956;1958;0.0;0.0;0.0;61719;17570;28.244060809361606;2.9173808327036306
2020-05-19;0-19;89;18;0.0;0.0;0.0;1047;6;0.5528056408039136;0.1118033880277578
2020-05-19;20-59;2834;545;0.0;0.0;0.0;22518;1127;8.547029168471173;1.6436594554752257
2020-05-19;60+;15368;1281;0.0;0.0;0.0;38539;16460;86.0586788256843;7.173423189465226
2020-05-19;whole;18409;1854;0.0;0.0;0.0;62554;17695;27.429041751399968;2.7624229130911804
2020-05-20;0-19;87;22;0.0;0.0;0.0;1058;6;0.5403830421341627;0.13664858536725955
2020-05-20;20-59;2777;511;0.0;0.0;0.0;22645;1134;8.37512350065083;1.5411192325648448
2020-05-20;60+;14902;1210;0.0;0.0;0.0;39189;16549;83.44914314551974;6.775832989268481
2020-05-20;whole;17882;1754;0.0;0.0;0.0;63345;17793;26.6438222933638;2.6134249134638243
2020-05-21;0-19;85;17;0.0;0.0;0.0;1070;6;0.5279604434644118;0.10559208869288236
2020-05-21;20-59;2724;502;0.0;0.0;0.0;22740;1137;8.215281388467;1.513976232382685
2020-05-21;60+;14604;1179;0.0;0.0;0.0;39583;16603;81.78038427708833;6.602237268055816
2020-05-21;whole;17527;1708;0.0;0.0;0.0;63849;17851;26.114879394686685;2.5448858336352402
2020-05-22;0-19;90;18;0.0;0.0;0.0;1070;6;0.559016940138789;0.1118033880277578
2020-05-22;20-59;2685;492;0.0;0.0;0.0;22819;1144;8.097661721010974;1.4838173432913964
2020-05-22;60+;14441;1144;0.0;0.0;0.0;39848;16669;80.8676067752282;6.4062420989447455
2020-05-22;whole;17327;1664;0.0;0.0;0.0;64200;17925;25.816883395431976;2.479326713799204
2020-05-23;0-19;89;19;0.0;0.0;0.0;1075;6;0.5528056408039136;0.11801468736263324
2020-05-23;20-59;2627;481;0.0;0.0;0.0;22918;1145;7.9227401642815;1.450642565290979
2020-05-23;60+;14292;1118;0.0;0.0;0.0;40082;16711;80.0332273410125;6.260645687605092
2020-05-23;whole;17122;1628;0.0;0.0;0.0;64538;17968;25.511437496195896;2.4256874339333554
2020-05-24;0-19;91;23;0.0;0.0;0.0;1078;6;0.5652282394736644;0.14285988470213495
2020-05-24;20-59;2631;473;0.0;0.0;0.0;22939;1147;7.934803719918016;1.426515454017948
2020-05-24;60+;14291;1112;0.0;0.0;0.0;40128;16744;80.0276274790379;6.22704651575748
2020-05-24;whole;17129;1618;0.0;0.0;0.0;64608;18003;25.52186735616981;2.41078763397062
2020-05-25;0-19;82;20;0.0;0.0;0.0;1088;6;0.5093265454597855;0.12422598669750866
2020-05-25;20-59;2604;461;0.0;0.0;0.0;23013;1157;7.853374719371538;1.390324787108402
